Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Avg_runs_per_innings,Season_Contribution_%,avg6s,avg4s,Boundary_Runs,Boundary_%,Runs_per_Ball
Yashasvi Jaiswal,3,3,0,40,34,13.33,44,90.9,0,0,2,2,13.333333333333334,0.2161227577263886,0.6666666666666666,0.6666666666666666,20,50.0,0.9090909090909091
Shreyas Gopal,14,5,1,37,23*,9.25,39,94.87,0,0,3,0,7.4,0.19991355089690943,0.0,0.6,12,32.432432432432435,0.9487179487179487
Ravichandran Ashwin,15,6,3,37,14*,12.33,34,108.82,0,0,3,1,6.166666666666667,0.19991355089690943,0.16666666666666666,0.5,18,48.64864864864865,1.088235294117647
Rashid Khan,16,7,3,35,14,8.75,30,116.66,0,0,3,2,5.0,0.18910741301059003,0.2857142857142857,0.42857142857142855,24,68.57142857142857,1.1666666666666667
Chris Morris,9,5,1,34,25*,8.5,21,161.9,0,0,2,3,6.8,0.1837043440674303,0.6,0.4,26,76.47058823529412,1.619047619047619
Sarfaraz Khan,5,3,1,33,14*,16.5,29,113.79,0,0,5,0,11.0,0.1783012751242706,0.0,1.6666666666666667,20,60.60606060606061,1.1379310344827587
Narayan Jagadeesan,5,2,0,33,33,16.5,29,113.79,0,0,4,0,16.5,0.1783012751242706,0.0,2.0,16,48.484848484848484,1.1379310344827587
Murali Vijay,3,3,0,32,21,10.66,43,74.41,0,0,4,0,10.666666666666666,0.17289820618111088,0.0,1.3333333333333333,16,50.0,0.7441860465116279
Alex Carey,3,3,1,32,14*,16.0,29,110.34,0,0,0,1,10.666666666666666,0.17289820618111088,0.3333333333333333,0.0,6,18.75,1.103448275862069
Chris Jordan,9,5,2,29,13,9.66,31,93.54,0,0,2,0,5.8,0.15668899935163172,0.0,0.4,8,27.586206896551722,0.9354838709677419
Navdeep Saini,13,3,2,27,12*,27.0,27,100.0,0,0,3,0,9.0,0.1458828614653123,0.0,1.0,12,44.44444444444444,1.0
Nathan Coulter-Nile,7,2,1,25,24*,25.0,15,166.66,0,0,4,0,12.5,0.13507672357899286,0.0,2.0,16,64.0,1.6666666666666667
Kamlesh Nagarkoti,10,6,3,22,8*,7.33,31,70.96,0,0,1,0,3.6666666666666665,0.11886751674951372,0.0,0.16666666666666666,4,18.181818181818183,0.7096774193548387
Tushar Deshpande,5,2,1,21,20*,21.0,12,175.0,0,0,2,1,10.5,0.11346444780635401,0.5,1.0,14,66.66666666666666,1.75
Harshal Patel,5,2,0,21,16,10.5,24,87.5,0,0,2,0,10.5,0.11346444780635401,0.0,1.0,8,38.095238095238095,0.875
Jimmy Neesham,5,3,1,19,10*,9.5,18,105.55,0,0,0,1,6.333333333333333,0.10265830992003458,0.3333333333333333,0.0,6,31.57894736842105,1.0555555555555556
Tom Banton,2,2,0,18,10,9.0,20,90.0,0,0,1,1,9.0,0.09725524097687487,0.5,0.5,10,55.55555555555556,0.9
Mohammed Siraj,9,3,2,17,10*,17.0,14,121.42,0,0,2,0,5.666666666666667,0.09185217203371515,0.0,0.6666666666666666,8,47.05882352941176,1.2142857142857142
Karun Nair,4,3,1,16,15*,8.0,14,114.28,0,0,2,0,5.333333333333333,0.08644910309055544,0.0,0.6666666666666666,8,50.0,1.1428571428571428
Prabhsimran Singh,2,2,0,15,11,7.5,15,100.0,0,0,2,0,7.5,0.08104603414739572,0.0,1.0,8,53.333333333333336,1.0
Isuru Udana,10,4,1,15,10*,5.0,11,136.36,0,0,1,1,3.75,0.08104603414739572,0.25,0.25,10,66.66666666666666,1.3636363636363635
James Pattinson,10,2,1,15,11,15.0,13,115.38,0,0,2,0,7.5,0.08104603414739572,0.0,1.0,8,53.333333333333336,1.1538461538461537
Kuldeep Yadav,5,2,1,13,12,13.0,21,61.9,0,0,1,0,6.5,0.0702398962610763,0.0,0.5,4,30.76923076923077,0.6190476190476191
Imran Tahir,3,1,1,13,13*,0.0,10,130.0,0,0,2,0,13.0,0.0702398962610763,0.0,2.0,8,61.53846153846154,1.3
Moeen Ali,3,3,0,12,11,4.0,16,75.0,0,0,1,0,4.0,0.06483682731791658,0.0,0.3333333333333333,4,33.33333333333333,0.75
Sandeep Sharma,13,5,3,12,9,6.0,15,80.0,0,0,1,0,2.4,0.06483682731791658,0.0,0.2,4,33.33333333333333,0.8
Shardul Thakur,9,2,1,12,11,12.0,21,57.14,0,0,0,0,6.0,0.06483682731791658,0.0,0.0,0,0.0,0.5714285714285714
Mohammad Nabi,1,1,1,11,11*,0.0,8,137.5,0,0,2,0,11.0,0.05943375837475686,0.0,2.0,8,72.72727272727273,1.375
Rinku Singh,1,1,0,11,11,11.0,11,100.0,0,0,1,0,11.0,0.05943375837475686,0.0,1.0,4,36.36363636363637,1.0
Shivam Mavi,8,3,1,10,9,5.0,14,71.42,0,0,1,0,3.3333333333333335,0.05403068943159715,0.0,0.3333333333333333,4,40.0,0.7142857142857143
Varun Chakaravarthy,13,3,1,10,7*,5.0,15,66.66,0,0,0,0,3.3333333333333335,0.05403068943159715,0.0,0.0,0,0.0,0.6666666666666666
Jaydev Unadkat,7,1,0,9,9,9.0,13,69.23,0,0,0,0,9.0,0.04862762048843743,0.0,0.0,0,0.0,0.6923076923076923
Ankit Rajpoot,6,2,1,9,7*,9.0,10,90.0,0,0,0,1,4.5,0.04862762048843743,0.5,0.0,6,66.66666666666666,0.9
Dwayne Bravo,6,2,0,7,7,3.5,6,116.66,0,0,0,0,3.5,0.037821482602118005,0.0,0.0,0,0.0,1.1666666666666667
Shahbaz Nadeem,7,2,1,7,5,7.0,8,87.5,0,0,1,0,3.5,0.037821482602118005,0.0,0.5,4,57.14285714285714,0.875
Pravin Dubey,3,1,1,7,7*,0.0,13,53.84,0,0,0,0,7.0,0.037821482602118005,0.0,0.0,0,0.0,0.5384615384615384
Anrich Nortje,16,5,4,7,3*,7.0,6,116.66,0,0,0,0,1.4,0.037821482602118005,0.0,0.0,0,0.0,1.1666666666666667
Deepak Chahar,14,3,2,7,5*,7.0,12,58.33,0,0,0,0,2.3333333333333335,0.037821482602118005,0.0,0.0,0,0.0,0.5833333333333334
Ravi Bishnoi,14,3,2,7,6*,7.0,12,58.33,0,0,1,0,2.3333333333333335,0.037821482602118005,0.0,0.3333333333333333,4,57.14285714285714,0.5833333333333334
Andrew Tye,1,1,0,6,6,6.0,6,100.0,0,0,0,1,6.0,0.03241841365895829,1.0,0.0,6,100.0,1.0
Jasprit Bumrah,15,1,1,5,5*,0.0,3,166.66,0,0,0,0,5.0,0.027015344715798573,0.0,0.0,0,0.0,1.6666666666666667
Kartik Tyagi,10,3,2,4,2*,4.0,6,66.66,0,0,0,0,1.3333333333333333,0.02161227577263886,0.0,0.0,0,0.0,0.6666666666666666
Murugan Ashwin,9,1,0,4,4,4.0,4,100.0,0,0,0,0,4.0,0.02161227577263886,0.0,0.0,0,0.0,1.0
Dhawal Kulkarni,1,1,1,3,3*,0.0,2,150.0,0,0,0,0,3.0,0.016209206829479145,0.0,0.0,0,0.0,1.5
T Natarajan,16,3,3,3,3*,0.0,5,60.0,0,0,0,0,1.0,0.016209206829479145,0.0,0.0,0,0.0,0.6
Prasidh Krishna,6,2,2,2,2*,0.0,4,50.0,0,0,0,0,1.0,0.01080613788631943,0.0,0.0,0,0.0,0.5
Rahul Chahar,15,1,1,2,2*,0.0,4,50.0,0,0,0,0,2.0,0.01080613788631943,0.0,0.0,0,0.0,0.5
Mohammad Shami,14,3,2,2,2*,2.0,3,66.66,0,0,0,0,0.6666666666666666,0.01080613788631943,0.0,0.0,0,0.0,0.6666666666666666
Nikhil Naik,1,1,0,1,1,1.0,3,33.33,0,0,0,0,1.0,0.005403068943159715,0.0,0.0,0,0.0,0.3333333333333333
Mujeeb Ur Rahman,2,1,0,1,1,1.0,3,33.33,0,0,0,0,1.0,0.005403068943159715,0.0,0.0,0,0.0,0.3333333333333333
Dale Steyn,3,1,1,1,1*,0.0,2,50.0,0,0,0,0,1.0,0.005403068943159715,0.0,0.0,0,0.0,0.5
Varun Aaron,3,2,1,1,1,1.0,10,10.0,0,0,0,0,0.5,0.005403068943159715,0.0,0.0,0,0.0,0.1
Shahbaz Ahmed,2,1,1,1,1*,0.0,1,100.0,0,0,0,0,1.0,0.005403068943159715,0.0,0.0,0,0.0,1.0
Yuzvendra Chahal,15,2,1,1,1,1.0,3,33.33,0,0,0,0,0.5,0.005403068943159715,0.0,0.0,0,0.0,0.3333333333333333
Mitchell Marsh,1,1,0,0,0*,0.0,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0.0
Umesh Yadav,2,1,0,0,0*,0.0,2,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0.0
Bhuvneshwar Kumar,4,1,0,0,0*,0.0,2,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0.0
Sheldon Cottrell,6,1,0,0,0*,0.0,2,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0.0
Khaleel Ahmed,7,1,0,0,0*,0.0,2,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0.0
Arshdeep Singh,8,1,0,0,0*,0.0,3,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0.0
Daniel Sams,3,1,0,0,0*,0.0,2,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0.0
Shreevats Goswami,2,2,0,0,0*,0.0,4,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0.0
Trent Boult,15,1,0,0,0*,0.0,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0.0
